# Permission database for AdvancedLuckPermsGUI
# Version 1.0
# Format are <pluginName>|<permission>|<desc>|<commands>,|<defaultAssignment>
AsyncWorldEdit|AWE.admin.blockaccess.bypass.whitelist|bypass the AsyncWorldEdit block whitelist|<l>empty<l>|op
AsyncWorldEdit|AWE.admin.cancel|this node allows the use of Cancel command on another user|<l>empty<l>|op
AsyncWorldEdit|AWE.admin.jobs|this node allows the use of Jobs command on another user|<l>empty<l>|op
AsyncWorldEdit|AWE.admin.jobs.all|this node allows the use of Jobs command on all users|<l>empty<l>|op
AsyncWorldEdit|AWE.admin.messages.change|this node allow the use to turn on/off one of the messaging systems for specific user|<l>empty<l>|op
AsyncWorldEdit|AWE.admin.messages.override|this node allow the use to turn on a messaging system even if its off in the config|<l>empty<l>|op
AsyncWorldEdit|AWE.admin.mode.change|Allow the user to toggle AWE on or off for other players|<l>empty<l>|op
AsyncWorldEdit|AWE.admin.purge|this node allows the use of Purge command on another user|<l>empty<l>|op
AsyncWorldEdit|AWE.admin.purge.all|this node allows the use of Purge command on all users|<l>empty<l>|op
AsyncWorldEdit|AWE.admin.queue.bypass|bypass the maximum queue limit|<l>empty<l>|op
AsyncWorldEdit|AWE.admin.reload|grants the use of reload command|<l>empty<l>|op
AsyncWorldEdit|AWE.admin.speed.change|this node allow to change his block placing speed for specific user|<l>empty<l>|op
AsyncWorldEdit|AWE.admin.speed.view|this node allow to view his block placing speed for specific user|<l>empty<l>|op
AsyncWorldEdit|AWE.admin.version|informs the user on login if the plugin is updated or not|<l>empty<l>|op
AsyncWorldEdit|AWE.user.cancel|this node allows the use of Cancel command|<l>empty<l>|op
AsyncWorldEdit|AWE.user.jobs|this node allows the use of Jobs command|<l>empty<l>|op
AsyncWorldEdit|AWE.user.messages.change|this node allow the use to turn on/off one of the messaging systems for himself|<l>empty<l>|op
AsyncWorldEdit|AWE.user.mode.change|Allow the user to toggle AWE on or off for himself|<l>empty<l>|op
AsyncWorldEdit|AWE.user.purge|this node allows the use of Purge command|<l>empty<l>|op
AsyncWorldEdit|AWE.user.speed.change|this node allow the use to change his block placing speed|<l>empty<l>|op
AsyncWorldEdit|AWE.user.speed.view|this node allow the use to view his block placing speed|<l>empty<l>|op
AsyncWorldEdit|awe.*|Get all permissions|<l>empty<l>|op
AsyncWorldEdit|awe.excommands.chunk.clear|Allows the usage of /chunk clear command|<l>/chunk clear<l>|op
AsyncWorldEdit|awe.excommands.chunk.clone|Allows the usage of /chunk clone command|<l>/chunk clone<l>|op
AsyncWorldEdit|awe.excommands.chunk.copy|Allows the usage of /chunk copy command|<l>/chunk copy<l>|op
AsyncWorldEdit|awe.excommands.chunk.fill|Allows the usage of /chunk fill command|<l>/chunk fill<l>|op
AsyncWorldEdit|awe.excommands.chunk.paste|Allows the usage of /chunk paste command|<l>/chunk paste<l>|op
AsyncWorldEdit|awe.excommands.chunk.set|Allows the usage of /chunk set command|<l>/chunk set<l>|op
AsyncWorldEdit|awe.excommands.chunk.setbiome|Allows the usage of /chunk setbiome command|<l>/chunk setbiome<l>|op
AsyncWorldEdit|awe.excommands.schematic.info|Allows the usage of /schematic info command|<l> /schematic info<l>|op
AsyncWorldEdit|awe.excommands.schematic.place|Allows the usage of /schematic place command|<l> /schematic place<l>|op
AuctionHouse|auction.admin.expire|Allow to Shift right-click to force remove the listing.|<l>/Actionhealth reload<l>|op
AuctionHouse|auction.noah|PREVENT the use of /ah commands.|<l>empty<l>|op
AuctionHouse|auction.reload|Allow reloading the config.|<l>/ah reload<l>|op
AutoCast|ac.bc|Broadcasts a specified message|<l>/broadcast<l>|op
AutoCast|ac.list|Show all the messages in a list|<l>/autocast list<l>|op
AutoCast|ac.preview |Previews a message for the sender only|<l>/autocast preview<l>|op
AutoCast|ac.reload|Reinitializes the plugin|<l>/autocast reload<l>|op
AutoCast|ac.toggle|This will turn the autobroadcasting messages either on or off|<l>/autocast on<br>/autocast off<br>/autocast enable<br>/autocast disable<br>/autocast toggle<l>|op
BannerBoard|bannerboard.create|Use the command /bannerboard create. This will give you two redstone blocks. There is no permission for the command, however it does require you to be a server operator. Place both blocks at an opposite corner (e.g. left bottom and right top). Please don't make your banner too big, BannerBoard might refuse to make it. Make sure to have a solid wall behind the banner and no blocks placed around the edges, these blocks should be placed later to prevent misplaced itemframes. Your wall should look something like this.|<l>bb create<br>bannerboard create<l>|op
BannerBoard|bannerboard.delete|If you misplace a redstone block or you want to redo the placing, use the command /bb delete twice while you're looking at the banner to delete the banner. You can now start over again.|<l>bb delete<br>bannerboard delete<l>|op
BannerBoard|bannerboard.fontlist|**COMING SOON**|<l>empty<l>|op
BannerBoard|bannerboard.reload|Make sure to always use the command /bb reload after changing anything in the renderer section of the configuration file.|<l>bb reload<br>bannerboard reload<l>|op
Beast-XpWithDraw|exp.admin|Permission to use Staff Commands.|<l>/XpBreload<br>/XpBottle<l>|op
Beast-XpWithDraw|exp.bottle|Permission to use Player Commands.|<l>/XpBottle<l>|op
Beast-XpWithDraw|exp.drop|Permission to Drop Xp to bottle on Death.|<l>empty<l>|op
BedWars|bedwars.admin|Admin commands|<l>/bw create<br>/bw coins<br>/bw reload<br>/bw setjoinspawn<br>/bw delete<br>/bw sethologram<l>|op
BedWars|bedwars.join|Allows player to join arena|<l>/bw join<l>|op
BedWars|bedwars.leave|Allows player to leave arena|<l>/bw leave<l>|op
BedWars|bedwars.list|See list of arenas|<l>/bw list<l>|op
BedWars|bedwars.play|Opens GUI of arenas|<l>/bw play<l>|op
BedWars|bedwars.randomjoin|Join a random arena|<l>/bw randomjoin<l>|op
BedWars|bedwars.stats|See stats of another player|<l>/bw stats<l>|op
BedWars|bedwars.top|See top players|<l>/bw top<l>|op
BentoBox|acidisland.admin.biomes|Player can use admin biomes command that opens GUI|<l>empty<l>|op
BentoBox|acidisland.admin.biomes.edit|Player can use admin biomes edit command that edits existing biomes parameters|<l>empty<l>|op
BentoBox|acidisland.admin.biomes.import|Player can use admin biomes import command allows to import biomes in world|<l>empty<l>|op
BentoBox|acidisland.admin.biomes.set|Player can use admin biomes set command that allows to change other player biomes|<l>empty<l>|op
BentoBox|acidisland.admin.biomes.settings|Player can use admin biomes settings command that allows to change addon settings|<l>empty<l>|op
BentoBox|acidisland.admin.challenges|Access /acid challenges admin commands|<l>empty<l>|op
BentoBox|acidisland.admin.clearresetall|Allow clearing of island reset limit of all players|<l>empty<l>|op
BentoBox|acidisland.admin.delete|Let a player completely remove a player (including island)|<l>empty<l>|op
BentoBox|acidisland.admin.deleteisland|	Let a player completely remove the island the player is on|<l>empty<l>|op
BentoBox|acidisland.admin.level|Player can use admin level command|<l>empty<l>|op
BentoBox|acidisland.admin.noban|Player cannot be banned from an island|<l>empty<l>|op
BentoBox|acidisland.admin.purge|Let a player purge old islands|<l>empty<l>|op
BentoBox|acidisland.admin.register|Let a player register the nearest island to another player|<l>empty<l>|op
BentoBox|acidisland.admin.reload|Reload the config.yml|<l>empty<l>|op
BentoBox|acidisland.admin.reserve|Reserves an empty spot for a player's next island|<l>empty<l>|op
BentoBox|acidisland.admin.setlanguage|Resets all player languages and sets the default language|<l>empty<l>|op
BentoBox|acidisland.admin.setrange|Allows setting of island protection range|<l>empty<l>|op
BentoBox|acidisland.admin.setspawn|Allows use of spawn tools|<l>empty<l>|op
BentoBox|acidisland.admin.settingsreset|Resets all the islands to default protection settings|<l>empty<l>|op
BentoBox|acidisland.admin.topten|Player can use admin top ten command|<l>empty<l>|op
BentoBox|acidisland.admin.unregister|Removes a player from an island without deleting the island blocks|<l>empty<l>|op
BentoBox|acidisland.biomes|Player can use biomes command that opens GUI|<l>empty<l>|op
BentoBox|acidisland.biomes.info|Player can use biomes info command|<l>empty<l>|op
BentoBox|acidisland.biomes.set|Player can use biomes set command|<l>empty<l>|op
BentoBox|acidisland.challenges|Let the player use the /ai challenges command|<l>empty<l>|op
BentoBox|acidisland.intopten|Player is in the top ten|<l>empty<l>|op
BentoBox|acidisland.island|Allow /island command usage|<l>empty<l>|op
BentoBox|acidisland.island.addwarp|Player can create a welcome warp sign|<l>empty<l>|op
BentoBox|acidisland.island.ban|	Allows banning of visitors|<l>empty<l>|op
BentoBox|acidisland.island.create|Allow island creation|<l>empty<l>|op
BentoBox|acidisland.island.expel|Allows expelling of visitors|<l>empty<l>|op
BentoBox|acidisland.island.home|Allow teleporting to player island|<l>empty<l>|op
BentoBox|acidisland.island.info|Let the player check their island level|<l>empty<l>|op
BentoBox|acidisland.island.language|Player can select a language|<l>empty<l>|op
BentoBox|acidisland.island.level|Player can use /ai level command|<l>empty<l>|op
BentoBox|acidisland.island.lock|Allows island locking|<l>empty<l>|op
BentoBox|acidisland.island.name|Player can set the name of their island|<l>empty<l>|op
BentoBox|acidisland.island.reset|Player can use the island reset or restart command|<l>empty<l>|op
BentoBox|acidisland.island.sethome|Let the player set their island teleport point|<l>empty<l>|op
BentoBox|acidisland.island.settings|Player can see server settings|<l>empty<l>|op
BentoBox|acidisland.island.spawn|Player can use the island spawn command if spawn exists|<l>empty<l>|op
BentoBox|acidisland.island.team|Let a player use team commands|<l>empty<l>|op
BentoBox|acidisland.island.team.coop|Let a player use team coop commands|<l>empty<l>|op
BentoBox|acidisland.island.team.trust|Let a player use team trust commands|<l>empty<l>|op
BentoBox|acidisland.island.top|Player can use /ai top top ten command|<l>empty<l>|op
BentoBox|acidisland.island.warp|Player can use /ai warp or ai warps commands|<l>empty<l>|op
BentoBox|acidisland.limits.admin.limits|Player can use admin limits command|<l>empty<l>|op
BentoBox|acidisland.limits.player.limits|Player can use limits command|<l>empty<l>|op
BentoBox|acidisland.mod.bypasscooldowns|Allow moderator to bypass cooldowns|<l>empty<l>|op
BentoBox|acidisland.mod.bypassexpel|Allow moderator to bypass island expulsion|<l>empty<l>|op
BentoBox|acidisland.mod.bypasslock|Bypasses an island lock|<l>empty<l>|op
BentoBox|acidisland.mod.bypassprotect|Allow moderator to bypass island protection|<l>empty<l>|op
BentoBox|acidisland.mod.clearreset|Allow clearing of island reset limit|<l>empty<l>|op
BentoBox|acidisland.mod.info|Let a moderator see info on a player|<l>empty<l>|op
BentoBox|acidisland.mod.lock|Locks or unlocks an island|<l>empty<l>|op
BentoBox|acidisland.mod.name|Enables naming of player's islands|<l>empty<l>|op
BentoBox|acidisland.mod.resethome|Allows setting or reseting of a player's home position|<l>empty<l>|op
BentoBox|acidisland.mod.resetname|Enables reset of player's island names|<l>empty<l>|op
BentoBox|acidisland.mod.team|Enables modification of teams via kick and add commands|<l>empty<l>|op
BentoBox|acidisland.mod.tp|Allows teleport to an island|<l>empty<l>|op
BentoBox|acidisland.settings.*|	Allow access to settings panel items|<l>empty<l>|op
BentoBox|addon.admin.challenges|Access the /challengesadmin command. Must be enabled in config.|<l>empty<l>|op
BentoBox|addon.challenges|Let the player use the /challenges command. Must be enabled in config.|<l>empty<l>|op
BentoBox|bentobox.admin|Allow bentobox command usage|<l>empty<l>|op
BentoBox|bskyblock.admin.biomes|Player can use admin biomes command that opens GUI|<l>empty<l>|op
BentoBox|bskyblock.admin.biomes.add|Player can use admin biomes add command that adds new biome|<l>empty<l>|op
BentoBox|bskyblock.admin.biomes.edit|Player can use admin biomes edit command that edits existing biomes parameters|<l>empty<l>|op
BentoBox|bskyblock.admin.biomes.import|Player can use admin biomes import command allows to import biomes in world|<l>empty<l>|op
BentoBox|bskyblock.admin.biomes.set|Player can use admin biomes set command that allows to change other player biomes|<l>empty<l>|op
BentoBox|bskyblock.admin.biomes.settings|Player can use admin biomes settings command that allows to change addon settings|<l>empty<l>|op
BentoBox|bskyblock.admin.challenges|Access /bsbadmin challenges admin commands	|<l>empty<l>|op
BentoBox|bskyblock.admin.clearresetall|Allow clearing of island reset limit of all players|<l>empty<l>|op
BentoBox|bskyblock.admin.delete|Let a player completely remove a player (including island)|<l>empty<l>|op
BentoBox|bskyblock.admin.deleteisland|Let a player completely remove the island the player is on|<l>empty<l>|op
BentoBox|bskyblock.admin.level|Player can use admin level command|<l>empty<l>|op
BentoBox|bskyblock.admin.noban|Player cannot be banned from an island|<l>empty<l>|op
BentoBox|bskyblock.admin.purge|Let a player purge old islands|<l>empty<l>|op
BentoBox|bskyblock.admin.register|Let a player register the nearest island to another player|<l>empty<l>|op
BentoBox|bskyblock.admin.reload|Reload the config.yml|<l>empty<l>|op
BentoBox|bskyblock.admin.reserve|Reserves an empty spot for a player's next island|<l>empty<l>|op
BentoBox|bskyblock.admin.setlanguage|Resets all player languages and sets the default language|<l>empty<l>|op
BentoBox|bskyblock.admin.setrange|Allows setting of island protection range|<l>empty<l>|op
BentoBox|bskyblock.admin.setspawn|Allows use of spawn tools|<l>empty<l>|op
BentoBox|bskyblock.admin.settingsreset|Resets all the islands to default protection settings|<l>empty<l>|op
BentoBox|bskyblock.admin.topten|Player can use admin top ten command|<l>empty<l>|op
BentoBox|bskyblock.admin.unregister|Removes a player from an island without deleting the island blocks|<l>empty<l>|op
BentoBox|bskyblock.biomes|Player can use biomes command that opens GUI|<l>empty<l>|op
BentoBox|bskyblock.biomes.info|Player can use biomes info command|<l>empty<l>|op
BentoBox|bskyblock.biomes.set|Player can use biomes set command|<l>empty<l>|op
BentoBox|bskyblock.challenges|Let the player use the /island challenges command|<l>empty<l>|op
BentoBox|bskyblock.intopten|Player is in the top ten|<l>empty<l>|op
BentoBox|bskyblock.island|Allow island command usage|<l>empty<l>|op
BentoBox|bskyblock.island.addwarp|Player can create a welcome warp sign|<l>empty<l>|op
BentoBox|bskyblock.island.ban|Allows banning of visitors|<l>empty<l>|op
BentoBox|bskyblock.island.create|Allow island creation|<l>empty<l>|op
BentoBox|bskyblock.island.expel|Allows expelling of visitors|<l>empty<l>|op
BentoBox|bskyblock.island.home|Allow teleporting to player island|<l>empty<l>|op
BentoBox|bskyblock.island.info|Let the player check their island level|<l>empty<l>|op
